emp_no,first_name,birth_date,from_date,to_date,title
10095,Hilari,1965-01-03,1994-03-10,9999-01-01,Senior Staff
10122,Ohad,1965-01-19,1998-08-06,9999-01-01,Technique Leader
10291,Dipayan,1965-01-23,1987-03-30,9999-01-01,Staff
10476,Kokou,1965-01-01,1987-09-20,9999-01-01,Senior Staff
10663,Teunis,1965-01-09,1999-02-12,9999-01-01,Technique Leader
10762,Lech,1965-01-19,1992-01-21,9999-01-01,Staff
10933,Juyoung,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
12155,Keiichiro,1965-01-21,1993-09-16,9999-01-01,Senior Engineer
12408,Rasiah,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
12643,Morrie,1965-01-30,1998-12-31,9999-01-01,Staff
13499,Kazuhiko,1965-01-16,1991-09-01,9999-01-01,Technique Leader
14075,Denny,1965-01-03,1991-05-30,9999-01-01,Engineer
14104,Sudhanshu,1965-01-03,1994-07-23,9999-01-01,Staff
14127,Magdalena,1965-01-10,1994-04-22,9999-01-01,Engineer
14158,Caolyn,1965-01-22,1990-02-06,9999-01-01,Staff
14476,Sastry,1965-01-19,1999-09-25,9999-01-01,Engineer
14907,Nakhoon,1965-01-14,1986-12-18,9999-01-01,Staff
15050,Nikolaos,1965-01-18,1990-12-17,9999-01-01,Engineer
15058,Bouchung,1965-01-30,1990-06-18,9999-01-01,Senior Staff
15413,Arvin,1965-01-17,1994-01-01,9999-01-01,Senior Engineer
16461,Remmert,1965-01-14,1986-09-06,9999-01-01,Staff
16528,Gaurav,1965-01-21,1996-05-07,9999-01-01,Engineer
17013,Morris,1965-01-15,1995-05-24,9999-01-01,Senior Staff
17206,Berry,1965-01-02,1992-12-27,9999-01-01,Engineer
17369,Yaghout,1965-01-31,2000-09-15,9999-01-01,Senior Engineer
17447,Zengping,1965-01-11,1998-12-16,9999-01-01,Staff
17731,Gennady,1965-01-16,1989-12-06,9999-01-01,Assistant Engineer
